,Event date,State Code,Country,Injury severity,Aircraft damage,Make,Model,Number of engines,Engine type,FAR description,Purpose of flight,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,Weather condition,Report status,Region,Year,Total passengers,Total injuries
5,1979-09-17,MA,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC9,2.0,Turbo Fan,129,Unknown,0.0,0.0,1.0,44.0,VMC,Probable Cause,Northeast,1979,45.0,1.0
80,1982-01-12,WV,United States,Incident,Minor,Embraer,EMB-110P1,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
84,1982-01-13,DC,United States,Fatal(78),Destroyed,Boeing,737-222,2.0,Turbo Fan,Unknown,Unknown,78.0,6.0,3.0,0.0,IMC,Probable Cause,South,1982,87.0,87.0
93,1982-01-15,NY,United States,Non-Fatal,Substantial,Swearingen,SA 226-TC,2.0,Turbo Prop,135,Unknown,0.0,1.0,2.0,12.0,VMC,Probable Cause,Northeast,1982,15.0,3.0
94,1982-01-15,MN,United States,Non-Fatal,Substantial,Beech,C-45H,2.0,Reciprocating,091,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1982,2.0,0.0
104,1982-01-17,MS,United States,Fatal(2),Destroyed,Beech,F50,2.0,Reciprocating,091,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,South,1982,2.0,2.0
118,1982-01-19,TX,United States,Fatal(3),Destroyed,Swearingen,SA226-T(B),2.0,Turbo Prop,091,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Probable Cause,South,1982,3.0,3.0
119,1982-01-19,DC,United States,Incident,Minor,De havilland,DHC-6-300,2.0,Turbo Prop,091,Ferry,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1982,1.0,0.0
132,1982-01-20,CA,United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,West,1982,2.0,2.0
140,1982-01-21,FL,United States,Non-Fatal,Destroyed,Douglas,DC-3,2.0,Reciprocating,091,Unknown,0.0,0.0,2.0,0.0,VMC,Probable Cause,South,1982,2.0,2.0
155,1982-01-23,MA,United States,Fatal(2),Destroyed,Mcdonnell douglas,DC-10-30,3.0,Turbo Fan,121,Unknown,2.0,4.0,24.0,182.0,IMC,Probable Cause,Northeast,1982,212.0,30.0
191,1982-01-29,GA,United States,Incident,Unknown,Beech,B200,2.0,Turbo Prop,091,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
214,1982-02-01,CT,United States,Non-Fatal,Destroyed,Beech,99,2.0,Turbo Prop,135,Unknown,0.0,5.0,2.0,0.0,IMC,Probable Cause,Northeast,1982,7.0,7.0
279,1982-02-09,AL,United States,Incident,Unknown,Beech,200,2.0,Turbo Prop,091,Executive/corporate,0.0,0.0,0.0,10.0,IMC,Probable Cause,South,1982,10.0,0.0
285,1982-02-10,CA,United States,Fatal(2),Destroyed,Beech,95-C55,2.0,Reciprocating,091,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,West,1982,2.0,2.0
294,1982-02-12,NY,United States,Incident,Unknown,De havilland,DHC-6-100,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,7.0,VMC,Probable Cause,Northeast,1982,7.0,0.0
320,1982-02-15,CA,United States,Incident,Minor,Boeing,B737-2H4,2.0,Turbo Jet,121,Unknown,0.0,0.0,0.0,119.0,IMC,Probable Cause,West,1982,119.0,0.0
335,1982-02-16,OH,United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,091,Personal,0.0,0.0,0.0,4.0,IMC,Probable Cause,Midwest,1982,4.0,0.0
344,1982-02-17,FL,United States,Non-Fatal,Substantial,Boeing,727-235,3.0,Turbo Fan,Unknown,Unknown,0.0,1.0,1.0,51.0,VMC,Probable Cause,South,1982,53.0,2.0
346,1982-02-18,ID,United States,Incident,Minor,Embraer,EMB-11OP1,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,West,1982,16.0,0.0
351,1982-02-19,TX,United States,Incident,Unknown,Boeing,B-727-200,3.0,Turbo Jet,129,Unknown,0.0,0.0,0.0,83.0,IMC,Probable Cause,South,1982,83.0,0.0
358,1982-02-19,IL,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,Midwest,1982,1.0,0.0
371,1982-02-20,IN,United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Midwest,1982,1.0,0.0
377,1982-02-21,RI,United States,Fatal(1),Destroyed,De havilland,DHC-6,2.0,Turbo Prop,135,Unknown,1.0,10.0,1.0,0.0,VMC,Probable Cause,Northeast,1982,12.0,12.0
404,1982-02-24,CA,United States,Fatal(1),Destroyed,Beech,BE-95-C55,2.0,Reciprocating,091,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,1.0,1.0
407,1982-02-24,IL,United States,Incident,Unknown,Swearingen,SA-227,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,Midwest,1982,12.0,0.0
417,1982-02-25,TX,United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,1982,1.0,0.0
419,1982-02-26,GA,United States,Incident,Minor,Beech,B90,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,3.0,IMC,Probable Cause,South,1982,3.0,0.0
481,1982-03-05,AR,United States,Non-Fatal,Substantial,Beech,B58,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1982,1.0,0.0
506,1982-03-08,NV,United States,Incident,Unknown,Boeing,707-131B,4.0,Turbo Fan,121,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,1.0,1.0
513,1982-03-08,TX,United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,091,Unknown,0.0,0.0,1.0,0.0,UNK,Probable Cause,South,1982,1.0,1.0
515,1982-03-09,IN,United States,Incident,Minor,Swearingen,SA-266TC,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,9.0,UNK,Probable Cause,Midwest,1982,9.0,0.0
522,1982-03-10,CA,United States,Incident,Unknown,Douglas,DC-9-82,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,West,1982,68.0,0.0
535,1982-03-11,TN,United States,Non-Fatal,Minor,Beech,95-55,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,2.0,IMC,Probable Cause,South,1982,2.0,0.0
536,1982-03-11,FL,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,1982,1.0,0.0
558,1982-03-13,AZ,United States,Fatal(6),Destroyed,Boeing,KC-135A,4.0,Turbo Jet,Unknown,Unknown,6.0,0.0,0.0,0.0,UNK,Probable Cause,West,1982,6.0,6.0
568,1982-03-13,OH,United States,Non-Fatal,Substantial,Beech,200,2.0,Turbo Prop,091,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Probable Cause,Midwest,1982,4.0,0.0
574,1982-03-14,TX,United States,Fatal(1),Destroyed,Beech,C-45H,2.0,Reciprocating,091,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,1982,1.0,1.0
588,1982-03-16,AZ,United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,091,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,1.0,1.0
663,1982-03-23,MI,United States,Non-Fatal,Substantial,Beech,65-A90,2.0,Turbo Prop,091,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1982,2.0,0.0
669,1982-03-24,AZ,United States,Non-Fatal,Substantial,Boeing,707-123B,4.0,Turbo Jet,091,Ferry,0.0,0.0,0.0,7.0,VMC,Probable Cause,West,1982,7.0,0.0
677,1982-03-25,MI,United States,Incident,Minor,Beech,65-88,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Midwest,1982,2.0,0.0
685,1982-03-25,SC,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,091,Personal,0.0,0.0,1.0,3.0,VMC,Probable Cause,South,1982,4.0,1.0
687,1982-03-26,NM,United States,Fatal(6),Destroyed,Beech,58,2.0,Reciprocating,091,Personal,6.0,0.0,0.0,0.0,VMC,Probable Cause,West,1982,6.0,6.0
699,1982-03-27,OK,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,South,1982,2.0,0.0
719,1982-03-30,IL,United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,135,Unknown,0.0,0.0,0.0,18.0,VMC,Probable Cause,Midwest,1982,18.0,0.0
