Number of engines,Make,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,Total passengers,Percentage chance of fatal injury,Percentage chance of serious injuries,Percentage chance of minor injuries,Percentage chance of being uninjured,Overall chance of injury
4.0,Airbus,0.0,6.0,45.0,1942.0,1993.0,0.0,0.3010536879076769,2.2579026593075766,97.44104365278474,2.5589563472152537
4.0,De havilland,0.0,3.0,5.0,237.0,245.0,0.0,1.2244897959183674,2.0408163265306123,96.73469387755102,3.2653061224489797
2.0,Boeing,1468.0,976.0,1009.0,95296.0,98749.0,1.4865973326312165,0.9883644391335609,1.0217824990632816,96.50325572917194,3.496744270828059
2.0,Mcdonnell douglas,303.0,132.0,398.0,21108.0,21941.0,1.3809762545007065,0.6016134178022879,1.8139556082220498,96.20345471947496,3.796545280525044
3.0,Boeing,514.0,124.0,342.0,24203.0,25183.0,2.041059444863598,0.49239566374141286,1.3580590080609936,96.108485883334,3.8915141166660048
4.0,Boeing,998.0,199.0,374.0,34599.0,36170.0,2.759192701133536,0.5501797069394526,1.03400608238872,95.65662150953828,4.343378490461709
3.0,Mcdonnell douglas,118.0,160.0,533.0,16986.0,17797.0,0.6630330954655279,0.899027926054953,2.9948867786705624,95.44305219980896,4.556947800191043
3.0,Douglas,0.0,8.0,86.0,1855.0,1949.0,0.0,0.4104669061056952,4.4125192406362235,95.17701385325809,4.822986146741918
2.0,Airbus,1081.0,168.0,409.0,31804.0,33462.0,3.2305301536070767,0.5020620405235791,1.2222819915127607,95.04512581435658,4.954874185643416
2.0,Aerospatiale,71.0,34.0,39.0,2092.0,2236.0,3.1753130590339893,1.520572450805009,1.744186046511628,93.55992844364937,6.440071556350626
2.0,Embraer,291.0,76.0,79.0,4894.0,5340.0,5.44943820224719,1.4232209737827715,1.4794007490636705,91.64794007490636,8.352059925093632
2.0,Douglas,329.0,56.0,94.0,4653.0,5132.0,6.410756040530008,1.0911925175370227,1.8316445830085737,90.6664068589244,9.333593141075603
2.0,Swearingen,45.0,19.0,46.0,808.0,918.0,4.901960784313726,2.0697167755991286,5.010893246187364,88.01742919389977,11.982570806100219
2.0,De havilland,119.0,68.0,73.0,1380.0,1640.0,7.2560975609756095,4.146341463414634,4.451219512195122,84.14634146341463,15.853658536585366
4.0,Mcdonnell douglas,177.0,2.0,11.0,917.0,1107.0,15.989159891598916,0.18066847335140018,0.9936766034327009,82.83649503161699,17.163504968383016
4.0,Douglas,316.0,8.0,40.0,1416.0,1780.0,17.752808988764045,0.44943820224719105,2.247191011235955,79.5505617977528,20.44943820224719
2.0,Learjet,100.0,12.0,37.0,289.0,438.0,22.831050228310502,2.73972602739726,8.447488584474886,65.98173515981736,34.01826484018265
2.0,Beech,1563.0,347.0,457.0,4265.0,6632.0,23.567551266586246,5.2322074788902295,6.890832328106152,64.30940892641736,35.690591073582624
